,conf_name,energy
447,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00075.POSCAR_all_sites/CONTCAR,-360.19517351
78,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00482.POSCAR_all_sites/CONTCAR,-360.19242675
88,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00329.POSCAR_all_sites/CONTCAR,-360.19210544
505,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00262.POSCAR_all_sites/CONTCAR,-360.19125966
468,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00335.POSCAR_all_sites/CONTCAR,-360.18859839
6,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00332.POSCAR_all_sites/CONTCAR,-360.1882142
226,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00255.POSCAR_all_sites/CONTCAR,-360.18811924
142,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00234.POSCAR_all_sites/CONTCAR,-360.18655391
243,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00328.POSCAR_all_sites/CONTCAR,-360.1850081
203,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00120.POSCAR_all_sites/CONTCAR,-360.18371824
398,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00247.POSCAR_all_sites/CONTCAR,-360.17745387
432,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00071.POSCAR_all_sites/CONTCAR,-360.17366279
305,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00330.POSCAR_all_sites/CONTCAR,-360.17187638
22,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00072.POSCAR_all_sites/CONTCAR,-360.17071423
317,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00233.POSCAR_all_sites/CONTCAR,-360.1701193
211,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00224.POSCAR_all_sites/CONTCAR,-360.16463908
268,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00082.POSCAR_all_sites/CONTCAR,-360.16317554
220,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00435.POSCAR_all_sites/CONTCAR,-360.16307659
255,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00426.POSCAR_all_sites/CONTCAR,-360.16262284
145,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00431.POSCAR_all_sites/CONTCAR,-360.16190367
68,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00225.POSCAR_all_sites/CONTCAR,-360.16145206
181,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00338.POSCAR_all_sites/CONTCAR,-360.15251164
47,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00244.POSCAR_all_sites/CONTCAR,-360.1513528
178,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00081.POSCAR_all_sites/CONTCAR,-360.14702558
63,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00240.POSCAR_all_sites/CONTCAR,-360.14696499
301,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00228.POSCAR_all_sites/CONTCAR,-360.14325011
151,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00251.POSCAR_all_sites/CONTCAR,-360.14183016
329,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00074.POSCAR_all_sites/CONTCAR,-360.13781185
493,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00239.POSCAR_all_sites/CONTCAR,-360.13461298
116,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00231.POSCAR_all_sites/CONTCAR,-360.12747464
430,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00176.POSCAR_all_sites/CONTCAR,-360.12435203
332,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00173.POSCAR_all_sites/CONTCAR,-360.12426351
168,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00579.POSCAR_all_sites/CONTCAR,-360.11952211
387,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00582.POSCAR_all_sites/CONTCAR,-360.11742736
263,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00267.POSCAR_all_sites/CONTCAR,-360.11646205
75,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00401.POSCAR_all_sites/CONTCAR,-360.1053241
119,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00336.POSCAR_all_sites/CONTCAR,-360.10205303
148,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00368.POSCAR_all_sites/CONTCAR,-360.10124122
272,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00565.POSCAR_all_sites/CONTCAR,-360.10108185
86,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00183.POSCAR_all_sites/CONTCAR,-360.10035733
356,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00238.POSCAR_all_sites/CONTCAR,-360.09921739
285,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00571.POSCAR_all_sites/CONTCAR,-360.09552036
452,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00093.POSCAR_all_sites/CONTCAR,-360.09437883
280,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00138.POSCAR_all_sites/CONTCAR,-360.09319498
313,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00137.POSCAR_all_sites/CONTCAR,-360.09257319
248,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00414.POSCAR_all_sites/CONTCAR,-360.09254738
212,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00346.POSCAR_all_sites/CONTCAR,-360.09181494
21,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00474.POSCAR_all_sites/CONTCAR,-360.09133308
141,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00130.POSCAR_all_sites/CONTCAR,-360.09121953
26,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00348.POSCAR_all_sites/CONTCAR,-360.0908362
353,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00086.POSCAR_all_sites/CONTCAR,-360.09027382
215,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00241.POSCAR_all_sites/CONTCAR,-360.08880351
445,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00129.POSCAR_all_sites/CONTCAR,-360.08808126
92,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00415.POSCAR_all_sites/CONTCAR,-360.08586885
173,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00566.POSCAR_all_sites/CONTCAR,-360.08454263
204,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00323.POSCAR_all_sites/CONTCAR,-360.08414605
236,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00395.POSCAR_all_sites/CONTCAR,-360.0826121
496,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00158.POSCAR_all_sites/CONTCAR,-360.08062251
147,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00155.POSCAR_all_sites/CONTCAR,-360.07960262
0,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00357.POSCAR_all_sites/CONTCAR,-360.077773
341,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00128.POSCAR_all_sites/CONTCAR,-360.07524188
83,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00563.POSCAR_all_sites/CONTCAR,-360.07427781
336,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00396.POSCAR_all_sites/CONTCAR,-360.073866
